Market Name ,Market Key,Market Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,1,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
2,2,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
3,3,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
4,4,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
5,5,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
6,6,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
7,7,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
8,8,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
9,9,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
10,10,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
11,11,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
12,12,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
13,13,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
14,14,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
15,15,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
16,16,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
17,17,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
18,18,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
19,19,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
20,20,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
22,22,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
26,26,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
27,27,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
28,28,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
29,29,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
31,31,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
32,32,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
33,33,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
34,34,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
35,35,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
37,37,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
38,38,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
39,39,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
40,40,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
41,41,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
42,42,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
43,43,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
44,44,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
